round,date,day_of_week,team_1,team_2,goal_1,goal_2
20,14/08/2005,Domingo,Goiás,Flamengo,2,0
20,14/08/2005,Domingo,Cruzeiro,Paraná,0,1
20,14/08/2005,Domingo,São Paulo,Fortaleza,3,2
20,14/08/2005,Domingo,Botafogo,Santos,3,3
20,14/08/2005,Domingo,Juventude,Fluminense,3,4
21,20/08/2005,Sábado,Atlético MG,Juventude,2,1
21,20/08/2005,Sábado,São Caetano,Cruzeiro,0,1
21,20/08/2005,Sábado,Atlético PR,São Paulo,4,2
21,21/08/2005,Domingo,Corinthians,Goiás,1,1
21,21/08/2005,Domingo,Internacional,Coritiba,3,2
21,21/08/2005,Domingo,Paraná,Vasco,0,0
21,21/08/2005,Domingo,Fluminense,Palmeiras,2,2
21,21/08/2005,Domingo,Brasiliense,Ponte Preta,4,0
21,21/08/2005,Domingo,Fortaleza,Botafogo,3,1
21,21/08/2005,Domingo,Flamengo,Paysandu,2,1
21,21/08/2005,Domingo,Santos,Figueirense,4,3
22,24/08/2005,Quarta-feira,Palmeiras,São Caetano,2,1
22,24/08/2005,Quarta-feira,Ponte Preta,Atlético PR,0,2
22,24/08/2005,Quarta-feira,Goiás,Paraná,1,1
22,24/08/2005,Quarta-feira,Vasco,Brasiliense,1,0
22,24/08/2005,Quarta-feira,São Paulo,Fluminense,1,1
22,24/08/2005,Quarta-feira,Cruzeiro,Flamengo,0,0
22,24/08/2005,Quarta-feira,Juventude,Corinthians,1,0
22,24/08/2005,Quarta-feira,Paysandu,Santos,2,3
22,25/08/2005,Quinta-feira,Botafogo,Internacional,0,1
22,25/08/2005,Quinta-feira,Figueirense,Atlético MG,0,1
22,25/08/2005,Quinta-feira,Coritiba,Fortaleza,2,0
23,27/08/2005,Sábado,Atlético PR,Juventude,2,2
23,27/08/2005,Sábado,São Caetano,Goiás,0,1
23,27/08/2005,Sábado,Brasiliense,Palmeiras,3,2
23,28/08/2005,Domingo,Paraná,São Paulo,0,4
23,28/08/2005,Domingo,Flamengo,Figueirense,2,2
23,28/08/2005,Domingo,Internacional,Cruzeiro,4,1
23,28/08/2005,Domingo,Corinthians,Botafogo,3,3
23,28/08/2005,Domingo,Atlético MG,Ponte Preta,1,0
23,28/08/2005,Domingo,Fortaleza,Vasco,4,2
23,28/08/2005,Domingo,Fluminense,Paysandu,5,2
23,28/08/2005,Domingo,Santos,Coritiba,2,0
24,07/09/2005,Quarta-feira,São Paulo,Corinthians,1,1
24,07/09/2005,Quarta-feira,Botafogo,Vasco,2,2
24,07/09/2005,Quarta-feira,Fortaleza,São Caetano,5,2
24,07/09/2005,Quarta-feira,Brasiliense,Atlético MG,1,2
24,07/09/2005,Quarta-feira,Figueirense,Goiás,3,0
24,07/09/2005,Quarta-feira,Juventude,Paraná,2,0
24,07/09/2005,Quarta-feira,Cruzeiro,Fluminense,2,6
24,07/09/2005,Quarta-feira,Atlético PR,Santos,3,3
24,07/09/2005,Quarta-feira,Paysandu,Ponte Preta,2,2
24,08/09/2005,Quinta-feira,Flamengo,Internacional,1,1
24,08/09/2005,Quinta-feira,Palmeiras,Coritiba,1,1
25,10/09/2005,Sábado,São Caetano,Paysandu,1,2
25,10/09/2005,Sábado,Fluminense,Brasiliense,1,1
25,10/09/2005,Sábado,Goiás,Cruzeiro,1,0
25,11/09/2005,Domingo,Santos,Flamengo,0,0
25,11/09/2005,Domingo,Internacional,Figueirense,3,0
25,11/09/2005,Domingo,Vasco,Juventude,5,2
25,11/09/2005,Domingo,Paraná,Palmeiras,1,3
25,11/09/2005,Domingo,Corinthians,Atlético PR,2,0
25,11/09/2005,Domingo,Ponte Preta,Fortaleza,2,1
25,11/09/2005,Domingo,Coritiba,São Paulo,1,4
25,11/09/2005,Domingo,Atlético MG,Botafogo,0,2
26,17/09/2005,Sábado,Ponte Preta,Paraná,1,0
26,17/09/2005,Sábado,Paysandu,Juventude,3,0
26,17/09/2005,Sábado,Palmeiras,Cruzeiro,2,1
26,17/09/2005,Sábado,Flamengo,São Caetano,2,0
26,18/09/2005,Domingo,São Paulo,Vasco,4,2
26,18/09/2005,Domingo,Brasiliense,Fortaleza,0,2
26,18/09/2005,Domingo,Internacional,Atlético PR,3,2
26,18/09/2005,Domingo,Figueirense,Corinthians,2,3
26,18/09/2005,Domingo,Botafogo,Goiás,3,1
26,18/09/2005,Domingo,Coritiba,Fluminense,0,0
26,18/09/2005,Domingo,Atlético MG,Santos,3,0
27,21/09/2005,Quarta-feira,São Caetano,Figueirense,0,1
27,21/09/2005,Quarta-feira,Fortaleza,Internacional,1,2
27,21/09/2005,Quarta-feira,Goiás,Paysandu,4,1
27,21/09/2005,Quarta-feira,Paraná,Brasiliense,4,1
27,21/09/2005,Quarta-feira,Santos,Palmeiras,2,1
27,21/09/2005,Quarta-feira,Cruzeiro,São Paulo,2,3
27,21/09/2005,Quarta-feira,Fluminense,Flamengo,2,2
27,22/09/2005,Quinta-feira,Juventude,Coritiba,0,0
27,22/09/2005,Quinta-feira,Vasco,Ponte Preta,0,0
27,22/09/2005,Quinta-feira,Corinthians,Atlético MG,1,1
27,22/09/2005,Quinta-feira,Atlético PR,Botafogo,2,0
28,24/09/2005,Sábado,São Paulo,Paysandu,4,1
28,24/09/2005,Sábado,Brasiliense,São Caetano,1,1
28,24/09/2005,Sábado,Fortaleza,Paraná,2,2
28,25/09/2005,Domingo,Juventude,Botafogo,0,0
28,25/09/2005,Domingo,Figueirense,Atlético PR,2,0
28,25/09/2005,Domingo,Ponte Preta,Cruzeiro,2,3
28,25/09/2005,Domingo,Coritiba,Vasco,2,0
28,25/09/2005,Domingo,Flamengo,Corinthians,1,3
28,25/09/2005,Domingo,Palmeiras,Goiás,3,1
28,25/09/2005,Domingo,Fluminense,Santos,4,3
28,25/09/2005,Domingo,Atlético MG,Internacional,1,1
29,01/10/2005,Sábado,Paraná,Coritiba,3,2
29,01/10/2005,Sábado,Goiás,Ponte Preta,4,1
29,01/10/2005,Sábado,Cruzeiro,Juventude,2,0
29,01/10/2005,Sábado,Paysandu,Figueirense,3,1
29,01/10/2005,Sábado,São Caetano,Atlético MG,3,1
29,01/10/2005,Sábado,Santos,Fortaleza,0,0
29,02/10/2005,Domingo,Internacional,Fluminense,2,2
29,02/10/2005,Domingo,Vasco,Palmeiras,0,0
29,02/10/2005,Domingo,Corinthians,Brasiliense,3,2
29,02/10/2005,Domingo,Botafogo,São Paulo,1,1
29,02/10/2005,Domingo,Atlético PR,Flamengo,2,0
30,04/10/2005,Terça-feira,Santos,São Caetano,2,0
30,04/10/2005,Terça-feira,Ponte Preta,Juventude,3,2
30,04/10/2005,Terça-feira,Coritiba,Goiás,0,2
30,04/10/2005,Terça-feira,Atlético MG,Paraná,0,1
30,05/10/2005,Quarta-feira,Figueirense,Botafogo,1,0
30,05/10/2005,Quarta-feira,Fortaleza,Atlético PR,1,4
30,05/10/2005,Quarta-feira,Vasco,Cruzeiro,3,3
30,05/10/2005,Quarta-feira,Palmeiras,Paysandu,5,3
30,05/10/2005,Quarta-feira,Brasiliense,Flamengo,2,3
30,05/10/2005,Quarta-feira,Fluminense,Corinthians,0,2
30,05/10/2005,Quarta-feira,Internacional,São Paulo,3,0
31,08/10/2005,Sábado,Botafogo,Palmeiras,1,2
31,08/10/2005,Sábado,Corinthians,Fortaleza,3,0
31,08/10/2005,Sábado,Paraná,Fluminense,6,1
31,08/10/2005,Sábado,Juventude,Santos,3,1
31,08/10/2005,Sábado,Goiás,Vasco,4,3
31,08/10/2005,Sábado,Cruzeiro,Figueirense,4,0
31,11/10/2005,Terça-feira,São Caetano,Internacional,1,1
31,11/10/2005,Terça-feira,São Paulo,Ponte Preta,3,2
31,11/10/2005,Terça-feira,Flamengo,Atlético MG,1,2
31,11/10/2005,Terça-feira,Atlético PR,Brasiliense,4,0
31,11/10/2005,Terça-feira,Paysandu,Coritiba,2,1
32,15/10/2005,Sábado,Fluminense,Botafogo,3,2
32,15/10/2005,Sábado,Fortaleza,Paysandu,1,2
32,15/10/2005,Sábado,Brasiliense,Juventude,1,0
32,15/10/2005,Sábado,Figueirense,Paraná,2,0
32,15/10/2005,Sábado,Coritiba,Atlético PR,1,2
32,16/10/2005,Domingo,Internacional,Vasco,3,1
32,16/10/2005,Domingo,Palmeiras,Corinthians,1,1
32,16/10/2005,Domingo,Atlético MG,Cruzeiro,0,1
32,16/10/2005,Domingo,Flamengo,São Paulo,1,6
32,16/10/2005,Domingo,Santos,Goiás,1,1
32,16/10/2005,Domingo,Ponte Preta,São Caetano,1,2
33,21/10/2005,Sexta-feira,Brasiliense,Goiás,1,2
33,21/10/2005,Sexta-feira,São Caetano,Fluminense,2,2
33,22/10/2005,Sábado,Vasco,Flamengo,2,1
33,22/10/2005,Sábado,Corinthians,Paraná,1,0
33,22/10/2005,Sábado,Fortaleza,Palmeiras,1,1
33,22/10/2005,Sábado,Atlético PR,Atlético MG,2,0
33,22/10/2005,Sábado,Juventude,Internacional,2,1
33,22/10/2005,Sábado,Cruzeiro,Paysandu,4,3
33,22/10/2005,Sábado,Figueirense,Ponte Preta,4,0
33,22/10/2005,Sábado,Botafogo,Coritiba,2,0
33,22/10/2005,Sábado,São Paulo,Santos,1,2
34,25/10/2005,Terça-feira,Coritiba,Cruzeiro,0,3
34,25/10/2005,Terça-feira,Goiás,Internacional,0,1
34,26/10/2005,Quarta-feira,Atlético MG,Fortaleza,2,3
34,26/10/2005,Quarta-feira,Palmeiras,Figueirense,2,2
34,26/10/2005,Quarta-feira,Vasco,Santos,1,3
34,26/10/2005,Quarta-feira,Juventude,Flamengo,2,2
34,27/10/2005,Quinta-feira,São Paulo,Brasiliense,1,2
34,27/10/2005,Quinta-feira,Fluminense,Atlético PR,4,1
34,27/10/2005,Quinta-feira,Paysandu,Corinthians,0,2
34,27/10/2005,Quinta-feira,Ponte Preta,Botafogo,0,1
34,28/10/2005,Sexta-feira,Paraná,São Caetano,1,3
35,29/10/2005,Sábado,Figueirense,Juventude,4,3
35,29/10/2005,Sábado,Fortaleza,Goiás,1,1
35,30/10/2005,Domingo,Atlético MG,Palmeiras,1,3
35,30/10/2005,Domingo,Santos,Cruzeiro,1,2
35,30/10/2005,Domingo,Atlético PR,Paraná,2,1
35,30/10/2005,Domingo,Corinthians,Vasco,1,1
35,30/10/2005,Domingo,São Caetano,São Paulo,0,1
35,30/10/2005,Domingo,Fluminense,Ponte Preta,4,3
35,30/10/2005,Domingo,Brasiliense,Botafogo,0,0
35,31/10/2005,Segunda-feira,Internacional,Paysandu,1,0
35,31/10/2005,Segunda-feira,Flamengo,Coritiba,2,1
36,02/11/2005,Quarta-feira,São Paulo,Atlético MG,2,2
36,02/11/2005,Quarta-feira,Juventude,Fortaleza,2,0
36,02/11/2005,Quarta-feira,Ponte Preta,Santos,2,1
36,02/11/2005,Quarta-feira,Cruzeiro,Corinthians,2,1
36,02/11/2005,Quarta-feira,Goiás,Fluminense,1,2
36,03/11/2005,Quinta-feira,Coritiba,Figueirense,4,1
36,03/11/2005,Quinta-feira,Palmeiras,Flamengo,0,1
36,03/11/2005,Quinta-feira,Vasco,Atlético PR,2,1
36,03/11/2005,Quinta-feira,Botafogo,São Caetano,1,0
36,03/11/2005,Quinta-feira,Paraná,Internacional,3,1
36,03/11/2005,Quinta-feira,Paysandu,Brasiliense,2,1
37,05/11/2005,Sábado,São Paulo,Juventude,3,1
37,05/11/2005,Sábado,Fortaleza,Cruzeiro,3,1
37,06/11/2005,Domingo,Flamengo,Botafogo,1,3
37,06/11/2005,Domingo,São Caetano,Vasco,1,2
37,06/11/2005,Domingo,Corinthians,Santos,7,1
37,06/11/2005,Domingo,Internacional,Ponte Preta,2,1
37,06/11/2005,Domingo,Paraná,Paysandu,2,0
37,06/11/2005,Domingo,Atlético MG,Goiás,1,2
37,06/11/2005,Domingo,Fluminense,Figueirense,2,0
37,06/11/2005,Domingo,Atlético PR,Palmeiras,4,0
37,06/11/2005,Domingo,Brasiliense,Coritiba,1,1
38,12/11/2005,Sábado,Palmeiras,São Paulo,2,1
38,12/11/2005,Sábado,Botafogo,Paraná,2,0
38,12/11/2005,Sábado,Paysandu,Atlético MG,0,2
38,12/11/2005,Sábado,Figueirense,Fortaleza,1,0
38,13/11/2005,Domingo,Goiás,Atlético PR,4,2
38,13/11/2005,Domingo,Ponte Preta,Flamengo,2,2
38,13/11/2005,Domingo,Coritiba,Corinthians,0,1
38,13/11/2005,Domingo,Vasco,Fluminense,2,0
38,13/11/2005,Domingo,Cruzeiro,Brasiliense,1,0
38,13/11/2005,Domingo,Juventude,São Caetano,3,1
38,13/11/2005,Domingo,Santos,Internacional,0,4
39,16/11/2005,Quarta-feira,Palmeiras,Juventude,3,2
39,16/11/2005,Quarta-feira,Flamengo,Fortaleza,3,0
39,16/11/2005,Quarta-feira,Goiás,São Paulo,3,0
39,16/11/2005,Quarta-feira,Internacional,Brasiliense,1,0
39,16/11/2005,Quarta-feira,São Caetano,Corinthians,1,0
39,16/11/2005,Quarta-feira,Santos,Paraná,0,0
39,16/11/2005,Quarta-feira,Figueirense,Vasco,5,1
39,17/11/2005,Quinta-feira,Paysandu,Botafogo,2,0
39,17/11/2005,Quinta-feira,Coritiba,Ponte Preta,2,1
39,17/11/2005,Quinta-feira,Cruzeiro,Atlético PR,1,2
39,17/11/2005,Quinta-feira,Fluminense,Atlético MG,0,2
40,19/11/2005,Sábado,São Paulo,Figueirense,4,2
40,19/11/2005,Sábado,Juventude,Goiás,2,1
40,19/11/2005,Sábado,Brasiliense,Santos,1,0
40,20/11/2005,Domingo,Paraná,Flamengo,0,1
40,20/11/2005,Domingo,Corinthians,Internacional,1,1
40,20/11/2005,Domingo,Atlético PR,São Caetano,2,2
40,20/11/2005,Domingo,Vasco,Paysandu,4,0
40,20/11/2005,Domingo,Atlético MG,Coritiba,1,0
40,20/11/2005,Domingo,Fortaleza,Fluminense,5,1
40,20/11/2005,Domingo,Ponte Preta,Palmeiras,2,6
40,20/11/2005,Domingo,Botafogo,Cruzeiro,2,1
41,27/11/2005,Domingo,Atlético MG,Vasco,0,0
41,27/11/2005,Domingo,Brasiliense,Figueirense,0,2
41,27/11/2005,Domingo,Atlético PR,Paysandu,3,2
41,27/11/2005,Domingo,São Caetano,Coritiba,1,1
41,27/11/2005,Domingo,Internacional,Palmeiras,2,1
41,27/11/2005,Domingo,Paraná,Cruzeiro,2,0
41,27/11/2005,Domingo,Fluminense,Juventude,1,2
41,27/11/2005,Domingo,Corinthians,Ponte Preta,3,1
41,27/11/2005,Domingo,Fortaleza,São Paulo,1,0
41,27/11/2005,Domingo,Flamengo,Goiás,0,0
41,27/11/2005,Domingo,Santos,Botafogo,2,1
42,04/12/2005,Domingo,São Paulo,São Paulo,3,1
42,04/12/2005,Domingo,Paysandu,Flamengo,1,4
42,04/12/2005,Domingo,Figueirense,Santos,3,1
42,04/12/2005,Domingo,Ponte Preta,Brasiliense,3,1
42,04/12/2005,Domingo,Vasco,Paraná,3,1
42,04/12/2005,Domingo,Coritiba,Internacional,1,0
42,04/12/2005,Domingo,Palmeiras,Fluminense,3,2
42,04/12/2005,Domingo,Juventude,Atlético MG,1,3
42,04/12/2005,Domingo,Cruzeiro,São Caetano,1,3
42,04/12/2005,Domingo,Botafogo,Fortaleza,2,0
42,04/12/2005,Domingo,Goiás,Corinthians,3,2
1,15/04/2006,Sábado,Juventude,Paraná,1,0
1,15/04/2006,Sábado,Vasco,Internacional,1,1
1,16/04/2006,Domingo,São Paulo,Flamengo,1,0
1,16/04/2006,Domingo,Grêmio,Corinthians,2,0
1,16/04/2006,Domingo,Botafogo,Fortaleza,1,0
1,16/04/2006,Domingo,São Caetano,Cruzeiro,2,1
1,16/04/2006,Domingo,Palmeiras,Ponte Preta,2,3
1,16/04/2006,Domingo,Santa Cruz,Figueirense,0,0
1,16/04/2006,Domingo,Atlético PR,Fluminense,1,2
1,16/04/2006,Domingo,Goiás,Santos,0,0
2,22/04/2006,Sábado,Corinthians,São Caetano,3,0
2,22/04/2006,Sábado,Fluminense,Goiás,1,0
2,22/04/2006,Sábado,Figueirense,Palmeiras,6,1
2,23/04/2006,Domingo,Internacional,Santa Cruz,1,0
2,23/04/2006,Domingo,Santos,Atlético PR,2,0
2,23/04/2006,Domingo,Ponte Preta,Vasco,1,2
2,23/04/2006,Domingo,Flamengo,Juventude,3,1
2,23/04/2006,Domingo,Cruzeiro,Grêmio,3,1
2,23/04/2006,Domingo,Paraná,Botafogo,0,0
2,23/04/2006,Domingo,Fortaleza,São Paulo,1,0
3,29/04/2006,Sábado,Fortaleza,São Caetano,2,1
3,29/04/2006,Sábado,Botafogo,Atlético PR,0,4
3,29/04/2006,Sábado,São Paulo,Santa Cruz,4,0
3,30/04/2006,Domingo,Ponte Preta,Corinthians,3,2
3,30/04/2006,Domingo,Internacional,Flamengo,1,0
3,30/04/2006,Domingo,Paraná,Grêmio,5,2
3,30/04/2006,Domingo,Palmeiras,Santos,1,2
3,30/04/2006,Domingo,Vasco,Fluminense,1,1
3,30/04/2006,Domingo,Juventude,Goiás,1,1
3,30/04/2006,Domingo,Figueirense,Cruzeiro,0,2
4,06/05/2006,Sábado,Santa Cruz,Ponte Preta,1,1
4,06/05/2006,Sábado,Fluminense,Paraná,2,1
4,06/05/2006,Sábado,Santos,Fortaleza,2,0
4,07/05/2006,Domingo,Grêmio,Vasco,1,2
4,07/05/2006,Domingo,São Caetano,Palmeiras,2,0
4,07/05/2006,Domingo,Atlético PR,Internacional,1,2
4,07/05/2006,Domingo,Corinthians,São Paulo,1,3
4,07/05/2006,Domingo,Flamengo,Botafogo,1,0
4,07/05/2006,Domingo,Goiás,Figueirense,2,1
4,07/05/2006,Domingo,Cruzeiro,Juventude,2,0
5,13/05/2006,Sábado,São Caetano,Juventude,0,2
5,13/05/2006,Sábado,Botafogo,Grêmio,2,2
5,13/05/2006,Sábado,Santos,Ponte Preta,3,1
5,14/05/2006,Domingo,Santa Cruz,Atlético PR,1,2
5,14/05/2006,Domingo,Internacional,São Paulo,3,1
5,14/05/2006,Domingo,Figueirense,Fluminense,1,0
5,14/05/2006,Domingo,Palmeiras,Cruzeiro,1,1
5,14/05/2006,Domingo,Flamengo,Fortaleza,0,0
5,14/05/2006,Domingo,Paraná,Corinthians,1,2
5,14/05/2006,Domingo,Goiás,Vasco,2,0
6,20/05/2006,Sábado,Atlético PR,Goiás,2,3
6,20/05/2006,Sábado,Fortaleza,Paraná,1,1
6,20/05/2006,Sábado,Internacional,Figueirense,2,4
6,20/05/2006,Sábado,São Paulo,São Caetano,1,0
6,21/05/2006,Domingo,Palmeiras,Santa Cruz,2,1
6,21/05/2006,Domingo,Cruzeiro,Flamengo,2,1
6,21/05/2006,Domingo,Vasco,Corinthians,2,4
6,21/05/2006,Domingo,Ponte Preta,Grêmio,1,1
6,21/05/2006,Domingo,Fluminense,Santos,1,0
6,21/05/2006,Domingo,Juventude,Botafogo,1,0
7,24/05/2006,Quarta-feira,Cruzeiro,Ponte Preta,5,1
7,24/05/2006,Quarta-feira,Paraná,Figueirense,0,0
7,24/05/2006,Quarta-feira,Juventude,Santa Cruz,4,1
7,24/05/2006,Quarta-feira,São Paulo,Palmeiras,4,1
7,24/05/2006,Quarta-feira,São Caetano,Atlético PR,2,1
7,24/05/2006,Quarta-feira,Fortaleza,Fluminense,2,5
7,24/05/2006,Quarta-feira,Flamengo,Santos,2,2
7,25/05/2006,Quinta-feira,Botafogo,Vasco,4,1
7,25/05/2006,Quinta-feira,Grêmio,Goiás,2,0
7,25/05/2006,Quinta-feira,Corinthians,Internacional,0,1
8,27/05/2006,Sábado,Atlético PR,Juventude,1,0
8,27/05/2006,Sábado,Figueirense,Fortaleza,0,0
8,27/05/2006,Sábado,Ponte Preta,Paraná,2,5
8,28/05/2006,Domingo,Santos,Corinthians,2,0
8,28/05/2006,Domingo,Internacional,Cruzeiro,1,1
8,28/05/2006,Domingo,Santa Cruz,Botafogo,1,1
8,28/05/2006,Domingo,Fluminense,Flamengo,1,0
8,28/05/2006,Domingo,Palmeiras,Grêmio,0,1
8,28/05/2006,Domingo,Goiás,São Caetano,2,1
8,28/05/2006,Domingo,Vasco,São Paulo,1,1
9,31/05/2006,Quarta-feira,Cruzeiro,Atlético PR,1,1
9,31/05/2006,Quarta-feira,Fortaleza,Vasco,1,1
9,31/05/2006,Quarta-feira,Juventude,Ponte Preta,0,1
9,31/05/2006,Quarta-feira,São Caetano,Internacional,1,1
9,31/05/2006,Quarta-feira,São Paulo,Fluminense,1,0
9,31/05/2006,Quarta-feira,Grêmio,Santos,1,0
9,31/05/2006,Quarta-feira,Flamengo,Palmeiras,2,1
9,01/06/2006,Quinta-feira,Botafogo,Figueirense,2,3
9,01/06/2006,Quinta-feira,Paraná,Santa Cruz,3,0
9,01/06/2006,Quinta-feira,Corinthians,Goiás,0,1
10,03/06/2006,Sábado,Fluminense,Internacional,2,3
10,03/06/2006,Sábado,Fortaleza,Cruzeiro,0,2
10,03/06/2006,Sábado,Grêmio,São Caetano,1,1
10,04/06/2006,Domingo,Corinthians,Flamengo,0,2
10,04/06/2006,Domingo,Vasco,Santa Cruz,2,1
10,04/06/2006,Domingo,Ponte Preta,Figueirense,3,0
10,04/06/2006,Domingo,Atlético PR,Palmeiras,2,0
10,04/06/2006,Domingo,Goiás,Paraná,1,2
10,04/06/2006,Domingo,Juventude,São Paulo,1,1
10,04/06/2006,Domingo,Santos,Botafogo,0,0
11,12/07/2006,Quarta-feira,Internacional,Ponte Preta,2,0
11,12/07/2006,Quarta-feira,Atlético PR,Fortaleza,0,0
11,12/07/2006,Quarta-feira,Fluminense,Juventude,3,2
11,12/07/2006,Quarta-feira,São Paulo,Grêmio,2,1
11,12/07/2006,Quarta-feira,Figueirense,Santos,2,1
11,12/07/2006,Quarta-feira,São Caetano,Botafogo,1,1
11,12/07/2006,Quarta-feira,Cruzeiro,Corinthians,2,0
11,13/07/2006,Quinta-feira,Santa Cruz,Goiás,2,1
11,13/07/2006,Quinta-feira,Flamengo,Paraná,1,4
11,13/07/2006,Quinta-feira,Palmeiras,Vasco,4,2
12,15/07/2006,Sábado,Botafogo,Ponte Preta,4,1
12,15/07/2006,Sábado,São Paulo,Figueirense,2,1
12,16/07/2006,Domingo,Grêmio,Fluminense,4,4
12,16/07/2006,Domingo,Palmeiras,Corinthians,1,0
12,16/07/2006,Domingo,São Caetano,Santos,2,0
12,16/07/2006,Domingo,Cruzeiro,Goiás,0,0
12,16/07/2006,Domingo,Fortaleza,Santa Cruz,1,4
12,16/07/2006,Domingo,Paraná,Atlético PR,2,1
12,16/07/2006,Domingo,Juventude,Internacional,2,0
12,16/07/2006,Domingo,Flamengo,Vasco,0,1
13,22/07/2006,Sábado,Figueirense,Grêmio,2,0
13,22/07/2006,Sábado,Paraná,Cruzeiro,1,0
13,22/07/2006,Sábado,Corinthians,Fortaleza,2,2
13,22/07/2006,Sábado,Fluminense,São Caetano,2,2
13,23/07/2006,Domingo,Ponte Preta,São Paulo,1,3
13,23/07/2006,Domingo,Vasco,Atlético PR,2,1
13,23/07/2006,Domingo,Santa Cruz,Flamengo,3,0
13,23/07/2006,Domingo,Santos,Juventude,3,2
13,23/07/2006,Domingo,Internacional,Botafogo,0,0
13,23/07/2006,Domingo,Goiás,Palmeiras,1,3
14,29/07/2006,Sábado,Juventude,Figueirense,1,0
14,29/07/2006,Sábado,São Caetano,Ponte Preta,1,1
14,29/07/2006,Sábado,Palmeiras,Paraná,4,2
14,30/07/2006,Domingo,São Paulo,Santos,0,4
14,30/07/2006,Domingo,Santa Cruz,Corinthians,1,0
14,30/07/2006,Domingo,Vasco,Cruzeiro,1,0
14,30/07/2006,Domingo,Atlético PR,Flamengo,1,0
14,30/07/2006,Domingo,Goiás,Fortaleza,1,1
14,30/07/2006,Domingo,Internacional,Grêmio,0,0
14,30/07/2006,Domingo,Fluminense,Botafogo,1,1
15,05/08/2006,Sábado,Figueirense,São Caetano,1,1
15,05/08/2006,Sábado,Grêmio,Juventude,1,0
15,05/08/2006,Sábado,Corinthians,Atlético PR,2,1
15,05/08/2006,Sábado,Flamengo,Goiás,1,0
15,06/08/2006,Domingo,Santos,Internacional,2,1
15,06/08/2006,Domingo,Botafogo,São Paulo,1,1
15,06/08/2006,Domingo,Paraná,Vasco,2,1
15,06/08/2006,Domingo,Ponte Preta,Fluminense,3,0
15,06/08/2006,Domingo,Cruzeiro,Santa Cruz,3,3
15,06/08/2006,Domingo,Fortaleza,Palmeiras,0,0
16,12/08/2006,Sábado,Juventude,Vasco,0,0
16,12/08/2006,Sábado,São Caetano,Santa Cruz,2,0
16,12/08/2006,Sábado,Corinthians,Figueirense,1,3
16,12/08/2006,Sábado,Flamengo,Ponte Preta,0,0
16,13/08/2006,Domingo,Botafogo,Palmeiras,1,3
16,13/08/2006,Domingo,Grêmio,Atlético PR,2,0
16,13/08/2006,Domingo,Cruzeiro,Fluminense,2,3
16,13/08/2006,Domingo,Fortaleza,Internacional,1,2
16,13/08/2006,Domingo,São Paulo,Goiás,2,1
16,13/08/2006,Domingo,Paraná,Santos,1,1
17,16/08/2006,Quarta-feira,Ponte Preta,Fortaleza,1,3
17,16/08/2006,Quarta-feira,Santa Cruz,Grêmio,2,4
17,16/08/2006,Quarta-feira,Vasco,São Caetano,1,2
17,16/08/2006,Quarta-feira,Goiás,Botafogo,2,2
17,16/08/2006,Quarta-feira,Figueirense,Flamengo,1,1
17,16/08/2006,Quarta-feira,Fluminense,Corinthians,1,2
17,17/08/2006,Quinta-feira,Santos,Cruzeiro,2,0
17,17/08/2006,Quinta-feira,Palmeiras,Juventude,1,1
17,30/09/2006,Sábado,Internacional,Paraná,3,2
17,30/09/2006,Sábado,Atlético PR,São Paulo,0,0
18,19/08/2006,Sábado,Ponte Preta,Goiás,3,2
18,19/08/2006,Sábado,Flamengo,Grêmio,1,0
18,20/08/2006,Domingo,Fluminense,Santa Cruz,1,1
18,20/08/2006,Domingo,Santos,Vasco,0,2
18,20/08/2006,Domingo,Fortaleza,Juventude,4,1
18,20/08/2006,Domingo,Cruzeiro,São Paulo,2,2
18,20/08/2006,Domingo,Figueirense,Atlético PR,3,3
18,20/08/2006,Domingo,Paraná,São Caetano,1,0
18,20/08/2006,Domingo,Internacional,Palmeiras,1,1
18,20/08/2006,Domingo,Corinthians,Botafogo,1,0
19,23/08/2006,Quarta-feira,Atlético PR,Ponte Preta,3,0
19,23/08/2006,Quarta-feira,Goiás,Internacional,2,2
19,23/08/2006,Quarta-feira,Palmeiras,Fluminense,3,0
19,23/08/2006,Quarta-feira,Botafogo,Cruzeiro,1,0
19,23/08/2006,Quarta-feira,Santa Cruz,Santos,1,1
19,23/08/2006,Quarta-feira,Juventude,Corinthians,0,0
19,23/08/2006,Quarta-feira,São Caetano,Flamengo,2,2
19,24/08/2006,Quinta-feira,Grêmio,Fortaleza,4,1
19,24/08/2006,Quinta-feira,São Paulo,Paraná,3,2
19,24/08/2006,Quinta-feira,Vasco,Figueirense,3,1
20,26/08/2006,Sábado,Fluminense,Atlético PR,1,2
20,26/08/2006,Sábado,Santos,Goiás,2,1
20,26/08/2006,Sábado,Cruzeiro,São Caetano,3,0
20,27/08/2006,Domingo,Flamengo,São Paulo,1,1
20,27/08/2006,Domingo,Corinthians,Grêmio,0,2
20,27/08/2006,Domingo,Internacional,Vasco,1,2
20,27/08/2006,Domingo,Paraná,Juventude,0,1
20,27/08/2006,Domingo,Ponte Preta,Palmeiras,1,1
20,27/08/2006,Domingo,Figueirense,Santa Cruz,2,0
20,27/08/2006,Domingo,Fortaleza,Botafogo,2,3
21,30/08/2006,Quarta-feira,Grêmio,Cruzeiro,2,1
21,30/08/2006,Quarta-feira,Goiás,Fluminense,3,1
